Year,Tm,MP_SUM,OBPM_SUM,DBMP_SUM,OWS_SUM,DWS_SUM,WS_SUM,WS/48_SUM,3P_SUM,3PA_SUM,2P_SUM,2PA_SUM,FG_SUM,FGA_SUM,FT_SUM,FTA_SUM,ORB_SUM,DRB_SUM,TRB_SUM,STL_SUM,BLK_SUM,TOV_SUM,PTS_SUM,dbpm_tot,obpm_tot,POSS_TOT,pts_per_min,2ft_pct,3fg_pct,ts_pct,dbpm_norm,obpm_norm,off_rat,TEAM,games_tot,wins_tot,losses_tot
2005.0,LAL,19780.0,-18.7,-29.5,27.0,7.1000000000000005,34.3,0.859,644.0,1813.0,2251.0,4816.0,2895.0,6629.0,1661.0,2137.0,1028.0,2511.0,3539.0,508.0,344.0,1127.0,8095.0,-23077.6,10873.099999999999,7659.732,0.40925176946410513,0.4674003322259136,0.3552123552123552,0.5347272131563372,-1.1667138523761373,0.5497017189079878,105.68254868447094,L.A. Lakers,82,34,48
2005.0,MEM,19705.0,-20.9,2.8000000000000007,20.0,27.5,47.3,1.41,531.0,1486.0,2271.0,4785.0,2802.0,6271.0,1526.0,2024.0,887.0,2307.0,3194.0,699.0,476.0,1145.0,7661.0,15586.9,-1622.8000000000006,7411.464,0.38878457244354225,0.4746081504702194,0.3573351278600269,0.5348694977072034,0.7910124333925399,-0.08235473230144637,103.36689215518014,Memphis,82,45,37
2005.0,MIA,19980.0,-23.900000000000002,6.5,32.2,27.5,59.9,1.713,475.0,1260.0,2622.0,5108.0,3097.0,6368.0,1658.0,2466.0,887.0,2639.0,3526.0,528.0,474.0,1093.0,8327.0,12339.199999999999,19151.399999999998,7649.1759999999995,0.41676676676676677,0.5133124510571653,0.376984126984127,0.55863110891663,0.6175775775775775,0.9585285285285284,108.86139892715242,Miami,82,59,23
2005.0,MIL,19780.0,-17.8,-14.5,22.8,11.1,33.6,1.19,325.0,925.0,2639.0,5655.0,2964.0,6580.0,1720.0,2229.0,985.0,2405.0,3390.0,529.0,289.0,1091.0,7973.0,-18285.9,1792.6000000000006,7657.844,0.4030839231547017,0.4666666666666667,0.35135135135135137,0.5272618096593464,-0.9244641051567241,0.09062689585439841,104.11546644199072,Milwaukee,82,30,52
2005.0,MIN,19755.0,-8.500000000000002,-5.199999999999999,27.0,18.8,45.8,1.375,395.0,1145.0,2650.0,5484.0,3045.0,6629.0,1449.0,1820.0,947.0,2580.0,3527.0,460.0,447.0,1035.0,7934.0,-1304.8999999999987,10038.299999999997,7510.52,0.4016198430777018,0.48322392414296134,0.34497816593886466,0.5339309268082586,-0.06605416350291059,0.5081397114654517,105.63849107651667,Minnesota,82,44,38
2005.0,NJN,19905.0,-56.199999999999996,4.4,10.9,27.1,37.8,1.9169999999999998,435.0,1203.0,2318.0,5216.0,2753.0,6419.0,1555.0,2039.0,855.0,2387.0,3242.0,650.0,308.0,1101.0,7496.0,12838.2,-22483.100000000002,7554.004,0.37658879678472745,0.44440184049079756,0.36159600997506236,0.5122906005336133,0.6449736247174077,-1.1295202210499875,99.23214231816664,New Jersey,82,42,40
2005.0,NOH,19930.0,-61.199999999999996,-15.8,6.1,16.0,21.7,0.415,415.0,1316.0,2303.0,5240.0,2718.0,6556.0,1401.0,1830.0,1019.0,2281.0,3300.0,550.0,310.0,1142.0,7252.0,-6932.7,-28249.6,7476.88,0.3638735574510788,0.4395038167938931,0.31534954407294835,0.49258273107645495,-0.3478524836929252,-1.4174410436527847,96.99232835086292,New Orleans,82,18,64
2005.0,NYK,19880.0,-23.1,-20.7,22.5,13.4,36.0,1.762,441.0,1240.0,2537.0,5359.0,2978.0,6599.0,1580.0,2060.0,965.0,2393.0,3358.0,629.0,260.0,1139.0,7977.0,-14971.800000000001,741.4000000000003,7671.16,0.40125754527162977,0.47340921813771225,0.3556451612903226,0.5314173794867696,-0.7531086519114689,0.037293762575452735,103.98688073250982,New York,82,33,49
2005.0,ORL,19705.0,-28.3,-15.600000000000001,19.1,17.2,36.699999999999996,1.208,320.0,916.0,2714.0,5763.0,3034.0,6679.0,1772.0,2335.0,1038.0,2544.0,3582.0,633.0,441.0,1283.0,8160.0,-7017.9,-5453.7,7942.0599999999995,0.41410809439228624,0.4709352767655735,0.34934497816593885,0.5294300840859546,-0.35614818573965995,-0.27676731793960924,102.74412432039044,Orlando,82,36,46
2005.0,PHI,19855.0,-38.4,1.4000000000000006,15.1,24.900000000000002,39.9,1.324,505.0,1453.0,2441.0,5283.0,2946.0,6736.0,1731.0,2194.0,909.0,2536.0,3445.0,756.0,321.0,1243.0,8128.0,8978.6,-14677.4,8026.584,0.4093679174011584,0.46204807874313836,0.3475567790777701,0.5276990038123137,0.4522085117098968,-0.7392294132460338,101.26350138489799,Philadelphia,82,43,39
