Year,Tm,off_rat,POSS_TOT,wins_tot,losses_tot
2011.0,CHA,101.84297171667578,7511.564,34,48
2007.0,PHI,101.80649312266735,7646.86,35,47
2017.0,ORL,101.77682091847686,8143.308,29,53
2010.0,LAC,101.77629391655512,7712.012,29,53
2007.0,MIN,101.7580357456589,7740.912,32,50
2011.0,MIN,101.73104805073591,8146.972,17,65
2004.0,POR,101.71704941808004,7314.408,41,41
2006.0,CHI,101.70421775760714,7885.612,41,41
2006.0,NOK,101.68695328733038,7484.736,38,44
2008.0,CHI,101.66044976692358,7850.644,33,49
2010.0,CHI,101.63480337804434,7864.432,41,41
2015.0,IND,101.62720680404401,7853.2119999999995,38,44
2015.0,LAL,101.58985032705564,7946.66,21,61
2013.0,DET,101.58927526540165,7656.32,29,53
2013.0,CLE,101.53807145159534,7793.136,24,58
2013.0,MIL,101.51241987179488,7987.2,38,44
2007.0,CHA,101.50376324084333,7827.296,33,49
2016.0,BRK,101.47064062608979,7971.764,21,61
2014.0,UTA,101.45709631899955,7679.108,25,57
2017.0,PHI,101.41968237287286,8282.416,28,54
2015.0,MIL,101.41544255206405,7911.024,41,41
2011.0,NJN,101.3636442395994,7618.116,24,58
2008.0,MIN,101.35570201139156,7734.148,22,60
2004.0,GSW,101.3487371753899,7547.208,37,45
2005.0,PHI,101.26350138489799,8026.584,43,39
2013.0,CHI,101.20840799346416,7549.768,45,37
2011.0,SAC,101.20793929162637,8053.716,24,58
2014.0,MIL,101.12964487205919,7741.548,15,67
2007.0,BOS,101.11177915550495,7770.608,24,58
2005.0,POR,101.06644259914087,7540.584,27,55
2007.0,ATL,101.01929521152756,7602.508,30,52
2013.0,MIN,100.93449581348756,7778.312,31,51
2014.0,BOS,100.80706967694732,7828.816,25,57
2014.0,CHI,100.78888298620662,7619.888,48,34
2009.0,OKC,100.77195984734163,7891.084,23,59
2004.0,LAC,100.7301412166324,7714.6720000000005,28,54
2015.0,MIN,100.66608396877542,7962.96,16,66
2004.0,BOS,100.57400964665831,7766.42,36,46
2006.0,MIN,100.54509825937481,7481.22,33,49
2004.0,SAS,100.52151650932903,7462.084,57,25
2007.0,IND,100.50637779629511,7800.5,35,47
2009.0,LAC,100.33702123455062,7772.804,19,63
2006.0,CHA,100.27652738964406,7921.096,26,56
2011.0,WAS,100.26944664136948,7955.564,23,59
2015.0,ORL,100.2511708958599,7827.34,25,57
2004.0,NOH,100.20586855822268,7513.532,41,41
2004.0,MIA,100.19031015411603,7387.94,42,40
2014.0,ORL,100.14800746718932,7902.304,23,59
2004.0,ORL,100.14285714285714,7700.0,21,61
2013.0,PHI,100.13930373299401,7629.372,34,48
2016.0,PHO,100.0897915915378,8263.58,23,59
2011.0,CLE,100.08055544900073,7820.7,19,63
2011.0,MIL,100.07816032590358,7528.116,35,47
2004.0,DET,100.06414507188148,7383.264,54,28
2006.0,HOU,99.99620970099956,7387.28,34,48
2004.0,UTA,99.85640234590444,7281.456,42,40
2010.0,MIN,99.63201371756236,8080.736,15,67
2004.0,NYK,99.61495952003077,7571.152,39,43
2008.0,LAC,99.60365721010311,7722.608,23,59
2013.0,ORL,99.54183413890252,7753.524,20,62
2004.0,PHO,99.48294118101695,7763.14,29,53
2013.0,CHA,99.43978318207306,7704.16,21,61
2016.0,LAL,99.41204661779842,8029.208,17,65
2004.0,HOU,99.26563386541079,7416.464,45,37
2005.0,CHI,99.25761201436178,7802.928,47,35
2005.0,NJN,99.23214231816664,7554.004,42,40
2004.0,ATL,99.19797052760651,7672.536,28,54
2004.0,CLE,99.11435811777685,7687.08,35,47
2010.0,NJN,99.10329507008532,7643.54,12,70
2006.0,POR,99.09429042775,7351.584,21,61
2004.0,NJN,98.993929549387,7476.216,47,35
2013.0,PHO,98.94214933026116,7888.448,25,57
2008.0,MIA,98.90795895484749,7573.708,15,67
2005.0,ATL,98.81263720729112,7696.384,13,69
2005.0,CHA,98.74974063659789,7826.856,18,64
2015.0,CHO,98.45687560794347,7842.012,33,49
2008.0,SEA,98.45436857258767,8124.576,20,62
2013.0,WAS,98.4258051756213,7766.256,29,53
2015.0,NYK,98.17973340977498,7674.7,17,65
2004.0,PHI,97.47465658928678,7401.924,33,49
2016.0,PHI,97.46693347649958,8195.6,10,72
2014.0,PHI,97.25413011040342,8385.248,19,63
2005.0,NOH,96.99232835086292,7476.88,18,64
2004.0,WAS,96.81074938824557,7775.996,25,57
2004.0,TOR,95.61372383109972,7327.4,33,49
2004.0,CHI,94.8588685755203,7753.624,23,59
2015.0,PHI,93.84673044561146,8036.508,18,64
